"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 08 21:11:19 CST 2022","Tue Mar 08 21:11:20 CST 2022","810","testcases.home_project","test002_try_test_api","Test_study","","","测试用例001","尝试用allure生成美观的测试报告"
"broken","Tue Mar 08 21:11:20 CST 2022","Tue Mar 08 21:11:20 CST 2022","0","testcases.home_project","test002_try_test_api","Test_study","","","测试用例001","尝试用allure生成美观的测试报告"
